seq,crop_id,crop_name,plot_type,season,yield_jin_per_mu,cost_yuan_per_mu,price_raw,price_low,price_high
57,27,油麦菜,水浇地,第一季,4100.0,1600.0,4.00-6.00,4.0,6.0
58,28,小青菜,水浇地,第一季,3200.0,1600.0,5.00-6.50,5.0,6.5
59,29,黄瓜,水浇地,第一季,12000.0,2900.0,6.00-8.00,6.0,8.0
60,30,生菜,水浇地,第一季,4100.0,1600.0,4.50-6.00,4.5,6.0
61,31,辣椒,水浇地,第一季,1600.0,1000.0,6.00-8.50,6.0,8.5
62,32,空心菜,水浇地,第一季,10000.0,4100.0,3.00-6.00,3.0,6.0
63,33,黄心菜,水浇地,第一季,5000.0,2000.0,4.00-5.00,4.0,5.0
64,34,芹菜,水浇地,第一季,5500.0,900.0,3.20-4.80,3.2,4.8
65,17,豇豆,普通大棚,第一季,3600.0,2400.0,7.00-9.00,7.0,9.0
66,18,刀豆,普通大棚,第一季,2400.0,1200.0,5.50-8.00,5.5,8.0
67,19,芸豆,普通大棚,第一季,3600.0,2400.0,5.00-8.00,5.0,8.0
68,20,土豆,普通大棚,第一季,2400.0,2400.0,3.00-4.50,3.0,4.5
69,21,西红柿,普通大棚,第一季,3000.0,2400.0,5.00-7.50,5.0,7.5
70,22,茄子,普通大棚,第一季,8000.0,2400.0,5.00-6.00,5.0,6.0
71,23,菠菜,普通大棚,第一季,3300.0,2700.0,4.80-6.70,4.8,6.7
72,24,青椒,普通大棚,第一季,3000.0,2000.0,4.00-6.50,4.0,6.5
73,25,菜花,普通大棚,第一季,4000.0,3000.0,5.00-6.00,5.0,6.0
74,26,包菜,普通大棚,第一季,4500.0,3500.0,5.50-7.50,5.5,7.5
75,27,油麦菜,普通大棚,第一季,5000.0,2000.0,4.00-6.00,4.0,6.0
76,28,小青菜,普通大棚,第一季,4000.0,2000.0,5.00-6.50,5.0,6.5
77,29,黄瓜,普通大棚,第一季,15000.0,3500.0,6.00-8.00,6.0,8.0
78,30,生菜,普通大棚,第一季,5000.0,2000.0,4.50-6.00,4.5,6.0
79,31,辣椒,普通大棚,第一季,2000.0,1200.0,6.00-8.50,6.0,8.5
80,32,空心菜,普通大棚,第一季,12000.0,5000.0,3.00-6.00,3.0,6.0
81,33,黄心菜,普通大棚,第一季,6000.0,2500.0,4.00-5.00,4.0,5.0
82,34,芹菜,普通大棚,第一季,6600.0,1100.0,3.20-4.80,3.2,4.8
83,35,大白菜,水浇地,第二季,5000.0,2000.0,2.00-3.00,2.0,3.0
84,36,白萝卜,水浇地,第二季,4000.0,500.0,2.00-3.00,2.0,3.0
85,37,红萝卜,水浇地,第二季,3000.0,500.0,2.50-4.00,2.5,4.0
86,38,榆黄菇,普通大棚,第二季,5000.0,3000.0,50.00-65.00,50.0,65.0
87,39,香菇,普通大棚,第二季,4000.0,2000.0,18.00-20.00,18.0,20.0
88,40,白灵菇,普通大棚,第二季,10000.0,10000.0,14.00-18.00,14.0,18.0
89,41,羊肚菌,普通大棚,第二季,1000.0,10000.0,80.00-120.00,80.0,120.0
90,17,豇豆,智慧大棚,第二季,3200.0,2640.0,8.40-10.80,8.4,10.8
91,18,刀豆,智慧大棚,第二季,2200.0,1320.0,6.60-9.60,6.6,9.6
92,19,芸豆,智慧大棚,第二季,3200.0,2640.0,6.00-9.60,6.0,9.6
93,20,土豆,智慧大棚,第二季,2200.0,2640.0,3.60-5.40,3.6,5.4
94,21,西红柿,智慧大棚,第二季,2700.0,2640.0,6.00-9.00,6.0,9.0
95,22,茄子,智慧大棚,第二季,7200.0,2640.0,6.00-7.20,6.0,7.2
96,23,菠菜,智慧大棚,第二季,3000.0,3000.0,5.80-8.00,5.8,8.0
97,24,青椒,智慧大棚,第二季,2700.0,2200.0,5.80-7.80,5.8,7.8
98,25,菜花,智慧大棚,第二季,3600.0,3300.0,6.00-7.20,6.0,7.2
99,26,包菜,智慧大棚,第二季,4100.0,3850.0,6.60-9.00,6.6,9.0
100,27,油麦菜,智慧大棚,第二季,4500.0,2200.0,4.80-7.20,4.8,7.2
101,28,小青菜,智慧大棚,第二季,3600.0,2200.0,6.00-7.80,6.0,7.8
102,29,黄瓜,智慧大棚,第二季,13500.0,3850.0,7.20-9.60,7.2,9.6
103,30,生菜,智慧大棚,第二季,4500.0,2200.0,5.40-7.20,5.4,7.2
104,31,辣椒,智慧大棚,第二季,1800.0,1300.0,7.20-10.20,7.2,10.2
105,32,空心菜,智慧大棚,第二季,11000.0,5500.0,3.60-7.20,3.6,7.2
106,33,黄心菜,智慧大棚,第二季,5400.0,2750.0,4.80-6.00,4.8,6.0
107,34,芹菜,智慧大棚,第二季,6000.0,1200.0,3.80-5.80,3.8,5.8
