source,target,relation_type,direction,group,source_label
2,10,complement,1,rotation,simulated_assumption
2,11,complement,1,rotation,simulated_assumption
2,12,complement,1,rotation,simulated_assumption
2,13,complement,1,rotation,simulated_assumption
2,14,complement,1,rotation,simulated_assumption
2,15,complement,1,rotation,simulated_assumption
3,6,complement,1,rotation,simulated_assumption
3,7,complement,1,rotation,simulated_assumption
3,8,complement,1,rotation,simulated_assumption
3,9,complement,1,rotation,simulated_assumption
3,10,complement,1,rotation,simulated_assumption
3,11,complement,1,rotation,simulated_assumption
3,12,complement,1,rotation,simulated_assumption
3,13,complement,1,rotation,simulated_assumption
3,14,complement,1,rotation,simulated_assumption
3,15,complement,1,rotation,simulated_assumption
4,6,complement,1,rotation,simulated_assumption
4,7,complement,1,rotation,simulated_assumption
4,8,complement,1,rotation,simulated_assumption
4,9,complement,1,rotation,simulated_assumption
4,10,complement,1,rotation,simulated_assumption
4,11,complement,1,rotation,simulated_assumption
4,12,complement,1,rotation,simulated_assumption
4,13,complement,1,rotation,simulated_assumption
4,14,complement,1,rotation,simulated_assumption
4,15,complement,1,rotation,simulated_assumption
5,6,complement,1,rotation,simulated_assumption
5,7,complement,1,rotation,simulated_assumption
5,8,complement,1,rotation,simulated_assumption
5,9,complement,1,rotation,simulated_assumption
5,10,complement,1,rotation,simulated_assumption
5,11,complement,1,rotation,simulated_assumption
5,12,complement,1,rotation,simulated_assumption
5,13,complement,1,rotation,simulated_assumption
5,14,complement,1,rotation,simulated_assumption
5,15,complement,1,rotation,simulated_assumption
17,16,complement,1,rotation,simulated_assumption
17,20,complement,1,rotation,simulated_assumption
17,21,complement,1,rotation,simulated_assumption
17,22,complement,1,rotation,simulated_assumption
17,23,complement,1,rotation,simulated_assumption
17,24,complement,1,rotation,simulated_assumption
17,25,complement,1,rotation,simulated_assumption
17,26,complement,1,rotation,simulated_assumption
17,27,complement,1,rotation,simulated_assumption
17,28,complement,1,rotation,simulated_assumption
17,29,complement,1,rotation,simulated_assumption
17,30,complement,1,rotation,simulated_assumption
17,31,complement,1,rotation,simulated_assumption
17,32,complement,1,rotation,simulated_assumption
17,33,complement,1,rotation,simulated_assumption
17,34,complement,1,rotation,simulated_assumption
18,16,complement,1,rotation,simulated_assumption
18,20,complement,1,rotation,simulated_assumption
18,21,complement,1,rotation,simulated_assumption
18,22,complement,1,rotation,simulated_assumption
18,23,complement,1,rotation,simulated_assumption
18,24,complement,1,rotation,simulated_assumption
18,25,complement,1,rotation,simulated_assumption
18,26,complement,1,rotation,simulated_assumption
18,27,complement,1,rotation,simulated_assumption
18,28,complement,1,rotation,simulated_assumption
18,29,complement,1,rotation,simulated_assumption
18,30,complement,1,rotation,simulated_assumption
18,31,complement,1,rotation,simulated_assumption
18,32,complement,1,rotation,simulated_assumption
18,33,complement,1,rotation,simulated_assumption
18,34,complement,1,rotation,simulated_assumption
19,16,complement,1,rotation,simulated_assumption
19,20,complement,1,rotation,simulated_assumption
19,21,complement,1,rotation,simulated_assumption
19,22,complement,1,rotation,simulated_assumption
19,23,complement,1,rotation,simulated_assumption
19,24,complement,1,rotation,simulated_assumption
19,25,complement,1,rotation,simulated_assumption
19,26,complement,1,rotation,simulated_assumption
19,27,complement,1,rotation,simulated_assumption
19,28,complement,1,rotation,simulated_assumption
19,29,complement,1,rotation,simulated_assumption
19,30,complement,1,rotation,simulated_assumption
19,31,complement,1,rotation,simulated_assumption
19,32,complement,1,rotation,simulated_assumption
19,33,complement,1,rotation,simulated_assumption
19,34,complement,1,rotation,simulated_assumption
